Audio utterances
3s fragments
No mask or shift during validation
lr=1e-3
n_fft=1024
n_mels=64
Spectrogram pixel size: 64x94

epoch	train_loss	train_accuracy	valid_loss	valid_accuracy	time
0	0.707472	0.532845	0.712094	0.543782	00:19
1	0.687383	0.565233	0.679999	0.572480	00:19
2	0.685588	0.570174	0.688436	0.573216	00:19
3	0.681298	0.578408	0.679209	0.583517	00:19
4	0.678974	0.584264	0.675761	0.584253	00:19
5	0.677931	0.589753	0.685378	0.576895	00:19
6	0.676586	0.592681	0.682881	0.606328	00:19
7	0.674715	0.596523	0.668656	0.587932	00:19
8	0.671920	0.598902	0.691338	0.593083	00:19
9	0.669902	0.607868	0.748088	0.578366	00:19
10	0.675524	0.588289	0.682520	0.570272	00:18
11	0.667936	0.605124	0.665247	0.598970	00:18
12	0.668813	0.606587	0.684976	0.626196	00:18
13	0.662339	0.612809	0.658174	0.626932	00:19
14	0.664261	0.616468	0.669181	0.625460	00:19
15	0.663181	0.616285	0.678388	0.610743	00:19
16	0.657998	0.620311	0.648077	0.654893	00:19
17	0.648325	0.644282	0.664338	0.625460	00:19
18	0.648473	0.635133	0.677818	0.635762	00:19
19	0.645330	0.645929	0.678068	0.612951	00:19
20	0.639926	0.651967	0.673902	0.657837	00:19
21	0.642013	0.651967	0.749332	0.630611	00:19
22	0.639473	0.646478	0.631597	0.663723	00:19
23	0.636287	0.651601	0.631233	0.680648	00:19
24	0.627610	0.655444	0.602739	0.697572	00:19
25	0.623733	0.663861	0.639639	0.668874	00:19
26	0.621269	0.664227	0.653231	0.646799	00:19
27	0.610168	0.685453	0.638034	0.699043	00:18
28	0.597078	0.694968	0.610060	0.712288	00:19
29	0.589226	0.699909	0.606560	0.705666	00:19
30	0.586114	0.710156	0.591017	0.718911	00:19
31	0.571127	0.729186	0.570220	0.739514	00:19
32	0.567136	0.726990	0.577496	0.736571	00:19
33	0.555380	0.739982	0.562796	0.750552	00:19
34	0.541383	0.746386	0.574052	0.740250	00:19
35	0.537423	0.754803	0.548531	0.763797	00:19
36	0.522180	0.772736	0.595745	0.735835	00:19
37	0.510195	0.776395	0.589601	0.751288	00:19
38	0.503821	0.787557	0.597103	0.747609	00:19
39	0.487317	0.803477	0.550867	0.775570	00:19
40	0.483088	0.806221	0.580822	0.742458	00:19
41	0.476898	0.807502	0.538286	0.782193	00:19
42	0.460993	0.819945	0.521304	0.798381	00:19
43	0.453417	0.823422	0.514071	0.793230	00:19
44	0.447436	0.834584	0.526027	0.794702	00:19
45	0.443215	0.834218	0.515420	0.801324	00:19
46	0.436196	0.842086	0.504099	0.807211	00:19
47	0.433354	0.845197	0.507367	0.808683	00:18
48	0.435337	0.840988	0.506909	0.807211	00:18
49	0.439743	0.840256	0.511794	0.799853	00:18
